X,Y,OBJECTID,NCES_TYPE,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,URL,NCES_ID,TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,L_SRC
313075.812700003,827487.625500001,1,"< 2-year, Private for-profit",Cape Cod Electrical School,,9 New Venture Drive,South Dennis,02660,,DENNIS,(508) 760-1983,http://capecodelectricalschool.com/,,PRI,Private Occupational Program,C,,Electrician,Town: Fringe,No,mass.gov
296838.814199999,827550.896000002,2,"2-year, Public",Cape Cod Community College,Main Campus,2240 Iyannough Road,West Barnstable,02668,1599,BARNSTABLE,(508) 362-2131,http://www.capecod.edu/,165194,PUB,Community College,"C, A","Less than one year certificate;Associate's degree",,City: Small,No,nces.ed.gov
228490.714199997,827680.440900002,3,"< 2-year, Private for-profit",Rob Roy Academy,Fall River,260 S Main Street,Fall River,02720,,FALL RIVER,(508) 672-4751,http://www.rob-roy.com,165750,PRI,Private Vocational School,C,"Less than one year certificate;One but less than two years certificate","Cosmetology/Cosmetologist, General",Suburb: Large,No,nces.ed.gov
228705.358000003,829854.331799999,4,"< 2-year, Public",Diman Regional Technical Institute Division of Continuing Education,,1082 Davol Street,Fall River,02720,,FALL RIVER,(508) 678-2891,https://www.dimanregional.org/domain/1100,165608,PUB,Adult Education,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Large,No,nces.ed.gov
231624.4142,830191.942600001,5,"2-year, Public",Bristol Community College,Fall River,777 Elsbree Street,Fall River,02720,,FALL RIVER,(508) 678-2811,https://bristolcc.edu/locations/taunton/index.html,165033,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
273053.304200001,832650.1809,6,"4-year, Public",Massachusetts Maritime Academy,,101 Academy Drive,Buzzards Bay,02532,,BOURNE,(508) 830-5000,http://www.maritime.edu,166692,PUB,State University,"B, M","Bachelor's degree;Master's degree",,Suburb: Midsize,Yes,nces.ed.gov
276629.684199996,833190.320900001,7,"< 2-year, Public",Upper Cape Cod Regional Vocational Technical School Practical Nursing Program,,220 Sandwich Road,Bourne,02532,,BOURNE,(508) 759-7711,http://www.uctpracticalnursing.com/,373711,PUB,Medical Program,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Midsize,No,nces.ed.gov
214536.9208,837972.471900001,8,"< 2-year, Private for-profit",Motoring Technical Training Institute,,1241 Fall River Avenue,Seekonk,02771,,SEEKONK,(508) 336-6611,https://www.mtti.edu/,414124,PRI,Technical Institute,C,One but less than two years certificate,"Electrician, Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology",Suburb: Large,No,nces.ed.gov
233566.028700002,851057.933800001,9,"2-year, Public",Bristol Community College,Taunton,2 Hamilton Street,Taunton,02780,,TAUNTON,(774) 357-3767,https://bristolcc.edu/locations/taunton/index.html,165033,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
248771.763300002,849277.515999999,10,"2-year, Public",Massasoit Community College,Middleborough Center,49 Union Street,Middleborough,02346,,MIDDLEBOROUGH,(508) 588-9100,http://www.massasoit.edu/,166823,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
233857.107199997,850258.113400001,11,"< 2-year, Private for-profit",Rob Roy Academy,Taunton,1 School Street,Taunton,02780,,TAUNTON,(508) 822-1405,http://www.rob-roy.com,168032,PRI,Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,nces.ed.gov
218764.9362,855296.0977,12,"2-year, Public",Bristol Community College,Attleboro,11 Field Road,Attleboro,02703,,ATTLEBORO,(508) 226-2484,https://bristolcc.edu/locations/attleboro/index.html,165033,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
265952.881399997,856763.1657,13,"< 2-year, Private for-profit",Spa Tech Institute,Plymouth,59 Industrial Park Road,Plymouth,02360,,PLYMOUTH,(800)262-8530,https://www.spatech.edu/,445656,PRI,Private Vocational School,C,Less than one year certificate,Aesthetician/Esthetician and Skin Care Specialist,Suburb: Large,No,nces.ed.gov
226173.174199998,857350.807399999,14,"4-year, Private not-for-profit",Wheaton College,,26 East Main Street,Norton,02766,,NORTON,(508) 286-7722,http://www.wheatoncollege.edu,168281,PRI,Liberal Arts College,B,Bachelor's degree,,Suburb: Large,Yes,nces.ed.gov
243544.754699998,859815.653999999,15,"4-year, Public",Bridgewater State University,,131 Summer Street,Bridgewater,02325,,BRIDGEWATER,(508) 531-1000,http://www.bridgew.edu,165024,PUB,State University,"C, B, PBC, M, PMC","Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate",Education,Suburb: Large,Yes,nces.ed.gov
234636.064199999,862276.3409,16,"< 2-year, Public",Southeastern Technical Institute,,250 Foundry Street,South Easton,02375,,EASTON,(508) 238-1860,http://www.stitech.edu,167871,PUB,Technical Institute,C,"Less than one year certificate;One but less than two years certificate",Licensed Practical/Vocational Nurse Training,Rural: Fringe,No,nces.ed.gov
164434.984999999,865870.346799999,17,"4-year, Private not-for-profit",Nichols College,,121 Center Road,Dudley,01571,,DUDLEY,(508) 213-1560,http://www.nichols.edu,167260,PRI,Liberal Arts College,"A, B, M","Associate's degree;Bachelor's degree;Master's degree",Business Program,Suburb: Large,Yes,nces.ed.gov
234713.072800003,867710.419599999,18,"4-year, Private not-for-profit",Stonehill College,,320 Washington Street,Easton,02357,0100,EASTON,(508) 565-1000,http://www.stonehill.edu,167996,PRI,Liberal Arts College,"B, M","Less than one year certificate;Bachelor's degree;Master's degree",,Suburb: Large,Yes,nces.ed.gov
110324.174199998,867761.640900001,19,"4-year, Private not-for-profit",Bay Path University,,588 Longmeadow Street,Longmeadow,01106,,LONGMEADOW,(413) 565-1000,http://www.baypath.edu,164632,PRI,"Women's Liberal Arts College, Coed Graduate School","C, A, B, PBC, M, PMC, D","Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice",Business,Suburb: Large,Yes,nces.ed.gov
242177.854099996,869597.6974,20,"2-year, Public",Massasoit Community College,Brockton,1 Massasoit Boulevard,Brockton,02302,3996,BROCKTON,(508) 588-9100,http://www.massasoit.mass.edu,166823,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
208448.991700001,870587.1818,21,"4-year, Private not-for-profit",Dean College,,99 Main Street,Franklin,02038,,FRANKLIN,(877) 879-3326,http://www.dean.edu,165574,PRI,Liberal Arts College,"C, A, B","Less than one year certificate;Associate's degree;Bachelor's degree",,Suburb: Large,Yes,nces.ed.gov
162221.775200002,876040.647999998,22,"< 2-year, Public",Bay Path Adult Evening School,,57 Old Muggett Hill Road,Charlton,01507,1331,CHARLTON,(508) 248-5971,http://www.baypath.net/bay-path-at-night/,457624,PUB,Adult Education,C,One but less than two years certificate,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",Rural: Fringe,No,nces.ed.gov
112454.8094,874127.095100001,23,"4-year, Private not-for-profit",American International College,Main Campus,1000 State Street,Springfield,01109,,SPRINGFIELD,(413) 737-7000,http://www.aic.edu,164447,PRI,Liberal Arts College,"A, B, PBC, M, PMC, D","Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",,City: Midsize,Yes,nces.ed.gov
115595.665899999,874470.126600001,24,"4-year, Private not-for-profit",Western New England University,,1215 Wilbraham Road,Springfield,01119,2684,SPRINGFIELD,(413) 782-3111,http://www1.wne.edu,168254,PRI,Private University,"C, A, B, PBC, M, D","Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice",,City: Midsize,Yes,nces.ed.gov
112815.290600002,874750.160999998,25,"4-year, Private not-for-profit",American International College,Edgewood Gardens,125 Cortland Street,Springfield,01109,,SPRINGFIELD,(800) 242-3142,http://www.aic.edu,164447,PRI,Liberal Arts College,"A, B, PBC, M, PMC, D","Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",,City: Midsize,Yes,nces.ed.gov
175286.930600002,896425.408,26,"< 2-year, Private for-profit",Porter And Chester Institute,Worcester,220 Brooks Street,Worcester,01606,1400,WORCESTER,(508) 304-6500,https://www.porterchester.com,13017405,PRI,Technical Institute,C,One but less than two years certificate,,City: Midsize,No,nces.ed.gov
106410.348300003,897107.516899999,27,"4-year, Private not-for-profit",Smith College,,33 Elm Street,Northampton,01063,,NORTHAMPTON,(413) 585-2700,http://www.smith.edu,167835,PRI,Women's Liberal Arts College,"B, PBC, M, PMC, D","Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship",,Suburb: Large,Yes,nces.ed.gov
225616.590800002,897289.7326,28,"4-year, Private not-for-profit",Hebrew College,,160 Herrick Road,Newton Centre,02459,,NEWTON,(617) 559-8600,http://www.hebrewcollege.edu,166045,PRI,Divinity School,"B, PBC, M, PMC","Postbaccalaureate certificate;Master's degree",Jewish Studies,City: Small,No,nces.ed.gov
234391.798100002,897545.977600001,29,"4-year, Private not-for-profit",Gordon-Conwell Theological Seminary,Boston,90 Warren Street,Roxbury,02119,,BOSTON,(617) 427-7293,http://www.gordonconwell.edu/,165945,PRI,Divinity School,"PBC, M, D","Postbaccalaureate certificate;Master's degree;Doctor's degree",Evangelical Seminary,Suburb: Large,Yes,nces.ed.gov
233336.217699997,897718.092099998,30,"2-year, Public",Roxbury Community College,,1234 Columbus Avenue,Roxbury Crossing,02120,3400,BOSTON,(617) 427-0060,https://www.rcc.mass.edu/,167631,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,City: Large,No,nces.ed.gov
114983.886600003,897768.4252,31,"4-year, Private not-for-profit",Hampshire College,,893 West Street,Amherst,01002,,AMHERST,(413) 549-4600,http://www.hampshire.edu,166018,PRI,Liberal Arts College,B,Bachelor's degree,,Suburb: Large,Yes,nces.ed.gov
165472.6602,897866.692699999,32,"4-year, Private not-for-profit",Anna Maria College,,50 Sunset Lane,Paxton,01612,1198,PAXTON,(508) 849-3300,http://www.annamaria.edu,164492,PRI,Liberal Arts College,"B, M, PMC","Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate",,Rural: Fringe,Yes,nces.ed.gov
92893.8134000003,876596.3869,33,"4-year, Public",Westfield State University,,577 Western Avenue,Westfield,01086,1630,WESTFIELD,(413) 572-5300,http://www.westfield.ma.edu,168263,PUB,State University,"B, PBC, M, PMC","Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate",Education,Suburb: Large,Yes,nces.ed.gov
109043.6756,877393.354600001,34,"4-year, Private not-for-profit",College of Our Lady of the Elms,,291 Springfield Street,Chicopee,01013,,CHICOPEE,(413) 594-2761,http://www.elms.edu,167394,PRI,Liberal Arts College,"C, A, B, PBC, M, PMC, D","Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice",,Suburb: Large,Yes,nces.ed.gov
106575.1087,877947.025199998,35,"< 2-year, Private for-profit",DiGrigoli School of Cosmetology,,1578 Riverdale Street,West Springfield,01089,,WEST SPRINGFIELD,(413) 827-0037,http://www.digrigoli.com/,451255,PRI,Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,nces.ed.gov
123143.608000003,878222.168000001,36,"< 2-year, Private for-profit",Monarch School of Cosmetology,,"2701 Boston Road, Suite 2",Wilbraham,01095,,WILBRAHAM,(413) 599-4600,http://monarchschoolofcosmetology.com/,,PRI,Private Vocational School,C,,Cosmetology,Town: Fringe,No,mass.gov
240420.459799998,866055.758400001,37,"< 2-year, Private for-profit",Mafy's Nails Academy,,2071 Main Street,Brockton,02301,,BROCKTON,(781) 767-1111,http://mafysnailsacademy.com/,,PRI,Private Vocational School,C,,Cosmetology,Suburb: Large,No,mass.gov
241959.6153,870969.020300001,38,"2-year, Private not-for-profit",Signature Healthcare Brockton Hospital School of Nursing,,53 Adams Street,Brockton,02302,,BROCKTON,(508) 941-7040,http://www.bhson.org/,165060,PRI,Medical Program,C,Two but less than 4 years certificate,Registered Nursing/Registered Nurse,Suburb: Large,No,nces.ed.gov
206494.701099999,871625.006299999,39,"< 2-year, Public",Tri County Regional Vocational Technical High School Adult Education,,147 Pond Street,Franklin,02038,,FRANKLIN,(508) 528-5400,http://www.tri-county.us/adulted,459408,PUB,Adult Education,C,One but less than two years certificate,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",Suburb: Large,No,nces.ed.gov
