"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"L32001","Railroad Lot and Minuteman Bikeway","Year Round","Arlington",11,461,2236.71714925982,2.23671714925982,"Elizabeth Grady School of Esthetics and Massage Therapy",2403.53303912366,2.40353303912366,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.15336637, 42.41606457)
"L32002","Linwood St at Minuteman Bikeway","Year Round","Arlington",11,462,1974.34446713056,1.97434446713056,"Elizabeth Grady School of Esthetics and Massage Therapy",1579.34705446909,1.57934705446909,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.14906519, 42.40935396)
"L32005","Thorndike Field at Minuteman Bikeway","Year Round","Arlington",11,480,2219.72754363229,2.21972754363229,"Elizabeth Grady School of Esthetics and Massage Therapy",494.360735919422,0.494360735919422,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.14456963, 42.40016805)
"L32003","Mass Ave at Grafton St","Year Round","Arlington",11,464,1673.71912945442,1.67371912945442,"Elizabeth Grady School of Esthetics and Massage Therapy",1246.90722561,1.24690722561,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.14382132, 42.40726052)
"L32004","Broadway at Grafton St","Winter Storage","Arlington",11,465,1263.81173349747,1.26381173349747,"Elizabeth Grady School of Esthetics and Massage Therapy",1545.44951658196,1.54544951658196,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.1400932, 42.40994213)
"L32006","Mass Ave at Broadway","Year Round","Arlington",11,510,1999.63671859138,1.99963671859138,"Elizabeth Grady School of Esthetics and Massage Therapy",2126.64425023029,2.12664425023029,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.15051883, 42.41420213)
"A32000","Fan Pier","Year Round","Boston",15,7,1333.40821824048,1.33340821824048,"North Bennet Street School",220.819124013272,0.220819124013272,"Courthouse","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0445714, 42.35339051)
"A32001","Union Square - Brighton Ave at Cambridge St","Year Round","Boston",19,8,1611.09320141956,1.61109320141956,"Boston Graduate School of Psychoanalysis Inc",529.724447687796,0.529724447687796,"Allston Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.137313, 42.353334)
"A32002","Commonwealth Ave at Agganis Way","Year Round","Boston",15,9,1595.9784099305,1.5959784099305,"Simmons University",73.5722182475386,0.0735722182475386,"Babcock Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11903489, 42.35169202)
"A32003","B.U. Central - 725 Comm. Ave.","Year Round","Boston",11,10,712.459397578507,0.712459397578507,"Boston University",109.915445170532,0.109915445170532,"Boston University Central","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.108279, 42.350406)
"A32004","Longwood Ave at Binney St","Year Round","Boston",15,11,300.785594681596,0.300785594681596,"Simmons University",440.412283346473,0.440412283346473,"Longwood","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1065, 42.338629)
"A32005","Brighton Mills - 370 Western Ave","Year Round","Boston",15,15,1344.15777924699,1.34415777924699,"Harvard University",1356.76619328404,1.35676619328404,"Harvard Avenue","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.13776207, 42.36154571)
"A32006","Soldiers Field Park - 111 Western Ave","Year Round","Boston",15,17,439.390280089209,0.439390280089209,"Harvard University",1087.14226024532,1.08714226024532,"Harvard","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1182757, 42.36426344)
"A32008","Park Dr at Buswell St","Year Round","Boston",15,19,531.628260000882,0.531628260000882,"Boston University",211.691275275371,0.211691275275371,"Saint Marys Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.105301, 42.347241)
"A32009","South End Library - Tremont St at W Newton St","Year Round","Boston",15,25,663.817745930382,0.663817745930382,"Boston University Chobanian & Avedisian School of Medicine",375.69126652334,0.37569126652334,"West Newton Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.076847, 42.341332)
"A32010","South Station - 700 Atlantic Ave","Year Round","Boston",47,22,603.765827577467,0.603765827577467,"Tufts University",53.8683809462467,0.0538683809462467,"South Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.055547, 42.352175)
"A32011","Innovation Lab - 125 Western Ave at Batten Way","Year Round","Boston",19,29,333.871035511941,0.333871035511941,"Harvard University",1238.78015522287,1.23878015522287,"Harvard","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.12459779, 42.36371276)
"A32012","Packard's Corner - Commonwealth Ave at Brighton Ave","Year Round","Boston",27,41,1574.25116321525,1.57425116321525,"Harvard University",126.213282947689,0.126213282947689,"Packards Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.123831, 42.352261)
"A32013","Surface Rd at India St","Year Round","Boston",19,151,557.416365650292,0.557416365650292,"North Bennet Street School",152.563452820038,0.152563452820038,"Aquarium","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.052163, 42.358155)
"A32017","Commonwealth Ave at Griggs St","Year Round","Boston",15,66,1116.80386507985,1.11680386507985,"Boston Graduate School of Psychoanalysis Inc",139.893364249154,0.139893364249154,"Griggs Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.13275303, 42.34922469)
"A32019","175 N Harvard St","Year Round","Boston",18,149,509.64829707989,0.50964829707989,"Harvard University",1318.3902643737,1.3183902643737,"Harvard","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.12840831, 42.36447457)
"A32022","Edwards Playground - Main St at Eden St","Year Round","Boston",19,169,393.120114964168,0.393120114964168,"Bunker Hill Community College",580.002700673912,0.580002700673912,"Community College","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.068607, 42.378965)
"A32023","Bunker Hill Community College","Year Round","Boston",23,171,158.242131202548,0.158242131202548,"Bunker Hill Community College",106.931349624847,0.106931349624847,"Community College","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06905997, 42.37408991)
